1.62	10.4327	0.723764	3.99727	-9.10964	
1.63	10.4727	0.630631	3.98623	-9.2668	
1.64	10.5127	0.535907	3.97539	-9.42516	
1.65	10.5525	0.439579	3.96476	-9.58472	
1.66	10.5923	0.341635	3.95433	-9.74549	
1.67	10.6319	0.242063	3.9441	-9.90749	
1.68	10.6714	0.140851	3.93406	-10.0707	
1.69	10.7109	0.0379857	3.92421	-10.2351	
1.7	10.7502	-0.0665444	3.91454	-10.4008	
1.71	10.7895	-0.172752	3.90504	-10.5678	
1.72	10.8286	-0.28065	3.89572	-10.7359	
1.73	10.8677	-0.390251	3.88657	-10.9054	
1.74	10.9067	-0.501568	3.87759	-11.0761	
1.75	10.9455	-0.614613	3.86876	-11.2481	
1.76	10.9843	-0.729399	3.8601	-11.4213	
1.77	11.023	-0.84594	3.85158	-11.5959	
1.78	11.0617	-0.964248	3.84322	-11.7717	
1.79	11.1002	-1.08434	3.835	-11.9489	
1.8	11.1387	-1.20622	3.82693	-12.1273	
1.81	11.1771	-1.32991	3.81899	-12.3071	
1.82	11.2154	-1.45542	3.81119	-12.4882	
1.83	11.2536	-1.58276	3.80352	-12.6707	
1.84	11.2917	-1.71195	3.79598	-12.8544	
1.85	11.3298	-1.843	3.78857	-13.0396	
1.86	11.3678	-1.97592	3.78129	-13.2261	
1.87	11.4057	-2.11073	3.77412	-13.4139	
1.88	11.4436	-2.24745	3.76707	-13.6032	
1.89	11.4814	-2.38608	3.76014	-13.7938	
1.9	11.5191	-2.52664	3.75332	-13.9858	
1.91	11.5568	-2.66914	3.74661	-14.1792	
1.92	11.5944	-2.8136	3.74	-14.374	
1.93	11.6319	-2.96003	3.73351	-14.5703	
1.94	11.6693	-3.10845	3.72711	-14.7679	
1.95	11.7067	-3.25888	3.72082	-14.967	
1.96	11.7441	-3.41131	3.71463	-15.1676	
1.97	11.7813	-3.56578	3.70853	-15.3696	
1.98	11.8185	-3.72229	3.70253	-15.5731	
1.99	11.8557	-3.88086	3.69662	-15.778	
2	11.8928	-4.04151	3.6908	-15.9844	
2.01	11.9298	-4.20424	3.68506	-16.1923	
2.02	11.9668	-4.36908	3.67942	-16.4018	
2.03	12.0037	-4.53604	3.67386	-16.6127	
2.04	12.0406	-4.70514	3.66838	-16.8251	
2.05	12.0774	-4.87639	3.66298	-17.0391	
2.06	12.1142	-5.0498	3.65767	-17.2547	
2.07	12.1509	-5.22539	3.65243	-17.4717	
2.08	12.1875	-5.40318	3.64727	-17.6904	
2.09	12.2241	-5.58319	3.64218	-17.9106	
2.1	12.2607	-5.76542	3.63717	-18.1324	
2.11	12.2972	-5.9499	3.63223	-18.3558	
2.12	12.3337	-6.13664	3.62736	-18.5808	
2.13	12.3701	-6.32566	3.62255	-18.8074	
2.14	12.4064	-6.51697	3.61782	-19.0356	
2.15	12.4427	-6.71059	3.61315	-19.2654	
2.16	12.479	-6.90654	3.60855	-19.497	
2.17	12.5152	-7.10483	3.60401	-19.7301	
2.18	12.5514	-7.30548	3.59954	-19.965	
2.19	12.5875	-7.50851	3.59512	-20.2015	
2.2	12.6236	-7.71393	3.59077	-20.4397	
2.21	12.6597	-7.92176	3.58647	-20.6796	
2.22	12.6957	-8.13202	3.58224	-20.9212	
2.23	12.7316	-8.34473	3.57806	-21.1646	
2.24	12.7675	-8.5599	3.57393	-21.4096	
2.25	12.8034	-8.77755	3.56987	-21.6565	
2.26	12.8393	-8.9977	3.56585	-21.9051	
2.27	12.8751	-9.22037	3.56189	-22.1554	
2.28	12.9108	-9.44557	3.55798	-22.4076	
2.29	12.9465	-9.67332	3.55412	-22.6615	
2.3	12.9822	-9.90364	3.55031	-22.9173	
2.31	13.0179	-10.1366	3.54655	-23.1748	
2.32	13.0535	-10.3721	3.54284	-23.4342	
2.33	13.089	-10.6102	3.53918	-23.6955	
2.34	13.1246	-10.851	3.53556	-23.9586	
2.35	13.1601	-11.0945	3.53199	-24.2236	
2.36	13.1955	-11.3406	3.52847	-24.4904	
2.37	13.231	-11.5894	3.52499	-24.7592	
2.38	13.2663	-11.841	3.52155	-25.0299	
2.39	13.3017	-12.0953	3.51815	-25.3024	
2.4	13.337	-12.3523	3.5148	-25.577	
2.41	13.3723	-12.6122	3.51149	-25.8534	
2.42	13.4076	-12.8748	3.50822	-26.1319	
2.43	13.4428	-13.1402	3.50499	-26.4123	
2.44	13.478	-13.4085	3.5018	-26.6947	
2.45	13.5132	-13.6797	3.49865	-26.9791	
2.46	13.5483	-13.9537	3.49553	-27.2655	
2.47	13.5834	-14.2306	3.49246	-27.5539	
2.48	13.6185	-14.5104	3.48942	-27.8444	
2.49	13.6535	-14.7932	3.48641	-28.137	
2.5	13.6885	-15.079	3.48344	-28.4316	
2.51	13.7235	-15.3677	3.48051	-28.7283	
2.52	13.7584	-15.6594	3.47761	-29.0271	
2.53	13.7934	-15.9542	3.47475	-29.328	
2.54	13.8282	-16.252	3.47192	-29.6311	
2.55	13.8631	-16.5528	3.46912	-29.9363	
2.56	13.898	-16.8568	3.46636	-30.2437	
2.57	13.9328	-17.1639	3.46362	-30.5532	
2.58	13.9675	-17.474	3.46092	-30.8649	
2.59	14.0023	-17.7874	3.45825	-31.1788	
2.6	14.037	-18.1039	3.45561	-31.495	
2.61	14.0717	-18.4237	3.453	-31.8134	
2.62	14.1064	-18.7466	3.45042	-32.134	
2.63	14.1411	-19.0728	3.44787	-32.4569	
2.64	14.1757	-19.4023	3.44535	-32.7821	
2.65	14.2103	-19.735	3.44285	-33.1096	
2.66	14.2449	-20.0711	3.44039	-33.4394	
2.67	14.2794	-20.4105	3.43795	-33.7715	
2.68	14.3139	-20.7533	3.43554	-34.106	
2.69	14.3484	-21.0994	3.43315	-34.4428	
2.7	14.3829	-21.449	3.43079	-34.782	
2.71	14.4174	-21.802	3.42846	-35.1236	
2.72	14.4518	-22.1585	3.42615	-35.4677	
2.73	14.4862	-22.5184	3.42387	-35.8141	
2.74	14.5206	-22.8818	3.42161	-36.163	
2.75	14.555	-23.2488	3.41938	-36.5144	
2.76	14.5893	-23.6193	3.41717	-36.8682	
2.77	14.6236	-23.9935	3.41498	-37.2245	
2.78	14.6579	-24.3712	3.41282	-37.5834	
2.79	14.6922	-24.7525	3.41068	-37.9448	
2.8	14.7265	-25.1375	3.40857	-38.3087	
2.81	14.7607	-25.5262	3.40648	-38.6752	
2.82	14.7949	-25.9186	3.4044	-39.0443	
2.83	14.8291	-26.3148	3.40235	-39.416	
2.84	14.8633	-26.7147	3.40033	-39.7903	
2.85	14.8975	-27.1184	3.39832	-40.1672	
2.86	14.9316	-27.5259	3.39633	-40.5469	
2.87	14.9657	-27.9372	3.39437	-40.9291	
2.88	14.9998	-28.3524	3.39243	-41.3141	
2.89	15.0339	-28.7715	3.3905	-41.7018	
2.9	15.0679	-29.1946	3.3886	-42.0922	
2.91	15.102	-29.6216	3.38671	-42.4854	
2.92	15.136	-30.0525	3.38485	-42.8814	
2.93	15.17	-30.4875	3.383	-43.2801	
2.94	15.204	-30.9265	3.38117	-43.6817	
2.95	15.2379	-31.3696	3.37936	-44.086	
2.96	15.2719	-31.8167	3.37757	-44.4933	
2.97	15.3058	-32.268	3.3758	-44.9034	
2.98	15.3397	-32.7235	3.37405	-45.3164	
2.99	15.3736	-33.1831	3.37231	-45.7323	
3	15.4075	-33.6469	3.37059	-46.1511	
